"air_temp","ice_on_duration","water_temp","lake_level","phosphorus","nitrogen","MEI","Nino4","ONI","SSTcorr1","SSTcorr2","chlorophyll","zonalwind500","geoheight500","geoheight850","CVHT","surfacezonalwind","surfacemomentumflux"
3.44510869565217,158,10.25,500.330666666667,3,20,1.5,29.16,1.29,29.084,21.634,2.4,8.79,5574.167,1459.562,50,0.115,-34.665
3.05652173913043,154,9.55,500.38725,3,22.6666666666667,1.5,28.82,0.67,28.88,21.473,1.925,11.274,5579.474,1463.66,34,0.545,-40
4.16086956521739,144,8.8,500.359,3.33333333333333,5.33333333333333,0.3,28.94,0.31,28.882,21.998,2.68,12.75,5609.812,1472.075,22,0.92,-54.149
1.63260869565217,137,10.4,500.42,4.66666666666667,2,0,29.225,0.3,28.968,21.583,2.12,5.522,5668.799,1496.429,39,0.138,-10.793
1.34347826086957,184,8.8,500.691,4.5,58.5,-0.9,28.315,-0.39,28.353,21.21,3.65,10.573,5615.317,1474.513,27,0.149,-16.316
1.66385869565217,157,7.35,500.85,1.66666666666667,20.3333333333333,2.3,29.33,0.28,29.119,21.842,2.4,8.71,5587.717,1465.891,38,0.579,-43.507
6.05646739130435,138,15.85,500.63925,2,11,0.4,28.61,0.99,28.615,23.217,1.86,12.338,5614.822,1443.97,23,0.326,-21.994
5.79108695652174,115,13.35,500.305,5.66666666666667,0,-1.3,27.65,-0.98,27.928,22.95,1.96,11.705,5583.317,1473.69,33,0.132,-14.689
5.57630434782609,109,13.4,500.175,4,1.33333333333333,-1.2,27.415,-0.81,27.955,22.663,1.2,14.44,5540.809,1448.568,15,1.046,-71.258
4.30244565217391,141,13.8333333333333,500.212,5,30.3333333333333,-0.7,28.285,-0.34,28.507,22.392,1.94,12.069,5596.765,1475.241,19,0.284,-29.431
0.881576086956522,115,8.1,500.354333333333,15.5,32,0.3,29.275,0.2,29.217,22.554,1.5,11.818,5602.962,1474.521,26,0.662,-54.869
2.30086956521739,152,13.9,500.504333333333,5,2,-0.1,28.91,-0.04,28.826,22.219,4.35,9.17,5583.853,1466.96,31,-0.049,1.974
2.61788043478261,143,11.05,500.431,3,2,-0.4,28.865,0.17,28.858,22.671,1.35,12.886,5564.984,1459.347,16,0.704,-40.985
4.05494565217391,122,11.4,500.197666666667,5,5.5,0.2,29.13,0.43,28.91,21.838,2.44,9.583,5617.372,1467.796,24,0.235,-21.054
5.91826086956522,134,14.0666666666667,500.0824,6,10,-0.2,28.575,-0.37,28.763,21.599,2.46,10.294,5642.203,1491.908,20,0.575,-28.85
2.68087301587302,137,12.8,499.826,4,8.5,-0.8,28.785,-0.32,28.693,21.615,2,10.575,5564.631,1467.371,24,0.138,-26.844
1.03271739130435,152,9.7,499.583,5.5,60,-0.8,27.635,-1.01,27.882,22.404,2.425,13.294,5589.382,1446.415,17,1.043,-51.589
2.75679347826087,139,13.05,499.37525,2.5,14,0,28.635,-0.33,28.801,21.996,1.475,12.687,5586.86,1456.197,12,0.802,-62.755
6.8391847826087,115,14.6,499.0832,1,5.5,-1.3,29.07,0.35,28.768,21.657,1.38,14.312,5594.375,1463.604,41,0.249,-18.261
2.9725,145,10.2333333333333,499.513666666667,2,51.5,-1,28.12,-0.73,28.163,22.041,2.1,12.486,5597.093,1467.327,16,-0.583,30.959
7.38255434782609,108,16.7,499.487,0,25.5,-0.3,28.215,-0.47,28.436,21.944,1.875,13.054,5584.833,1452.358,9,0.617,-52.312
1.34679347826087,151,10.4,499.556333333333,4,41,-1.1,28.525,-0.3,28.635,21.682,3.4,11.65,5660.924,1478.493,34,-0.287,12.612
0.5525,165,9.2,499.92775,4.5,14.5,0,29.215,0.04,29.121,21.172,2.36666666666667,11.822,5614.732,1466.764,41,0.168,-17.448
3.97652173913043,146,12.8,500.0275,3,2.5,1.9,29.73,0.7,29.483,22.774,1.58,12.373,5575.674,1470.979,21,0.583,-33.997
4.59872222222222,115,13.35,500.13125,3.5,5.5,0.4,29.41,0.94,29.317,22.34,1.175,12.836,5620.667,1469.482,25,0.963,-64.82
3.82244565217391,119,11.1,500.4914,1.5,9.5,-0.2,28.895,0.2,29.055,22.337,2.52,12.974,5592.167,1444.451,27,0.924,-46.862
2.92902173913043,149,16.15,500.59525,3,35.5,-0.5,28.86,-0.5,28.902,23.315,1.75,10.781,5639.087,1477.218,44,0.048,-5.177
1.47978260869565,162,9.4,500.70925,5,16.5,0.4,29.3,0.66,29.341,21.982,2.5,11.209,5599.633,1463.663,30,0.295,-14.077
3.08032608695652,149,6.9,500.6445,8.5,2,-0.7,29.08,0.19,28.91,22.614,3.3,11.032,5642.158,1469.9,33,0.4,-29.63
4.4775,120,8.8,500.525666666667,2,1,-1,28.455,-0.66,28.714,22.446,2.16666666666667,10.508,5602.171,1463.767,23,0.842,-55.94
2.46717391304348,157,9.95,500.5785,5,20.74,-1.9,27.96,-1.06,28.262,22.565,2.538,14.501,5592.256,1455.703,17,0.664,-62.124
