lakeid,Year,CVHT_standardized,n_months_sampled,mei,nino4,oni,sstcorr1,sstcorr2,zonalwind500,geoheight500,geoheight850,surfacezonalwind,surfacemomentumflux,air_temp,water_temp,phosphorus,nitrogen,chlorophyll,lake_level,ice_on_duration
AL,1997,3.8333333333333335,3,2.3,29.33,0.28,29.119,21.842,8.71,5587.717,1465.891,0.579,-43.507,1.66385869565217,9.899999999999999,17.5,265.5,5.525,494.1275,165
AL,1998,0,3,0.4,28.61,0.99,28.615,23.217,12.338,5614.822,1443.97,0.326,-21.994,6.05646739130435,18.2,13.5,266,3.2800000000000002,494.11266666666666,145
AL,1999,3.5,3,-1.3,27.65,-0.98,27.928,22.95,11.705,5583.317,1473.69,0.132,-14.689,5.79108695652174,14.55,12.333333333333334,244.66666666666666,6.08,494.10766666666666,124
AL,2000,2,3,-1.2,27.415,-0.81,27.955,22.663,14.44,5540.809,1448.568,1.046,-71.258,5.57630434782609,14.25,10.666666666666666,253,3.44,494.0713333333333,116
AL,2001,0.5,3,-0.7,28.285,-0.34,28.507,22.392,12.069,5596.765,1475.241,0.284,-29.431,4.30244565217391,15.1,12.333333333333334,284,6.619999999999999,494.185,155
AL,2002,3.5,3,0.3,29.275,0.2,29.217,22.554,11.818,5602.962,1474.521,0.662,-54.869,0.881576086956522,9.149999999999999,21,308,2.125,494.054,130
AL,2003,3.6666666666666665,3,-0.1,28.91,-0.04,28.826,22.219,9.17,5583.853,1466.96,-0.049,1.974,2.30086956521739,14.6,9,280.5,5.325,494.19100000000003,158
AL,2004,2.333333333333333,3,-0.4,28.865,0.17,28.858,22.671,12.886,5564.984,1459.347,0.704,-40.985,2.61788043478261,12.8,12.5,301,0.6499999999999999,494.1775,144
AL,2005,6,3,0.2,29.13,0.43,28.91,21.838,9.583,5617.372,1467.796,0.235,-21.054,4.05494565217391,12.533333333333333,11,256,3.1,494.11,122
AL,2006,3.5,3,-0.2,28.575,-0.37,28.763,21.599,10.294,5642.203,1491.908,0.575,-28.85,5.91826086956522,14.733333333333333,11.5,249,5.8,494.131,142
AL,2007,10.5,3,-0.8,28.785,-0.32,28.693,21.615,10.575,5564.631,1467.371,0.138,-26.844,2.68087301587302,13.600000000000001,8.5,271,2.8499999999999996,494.071,132
AL,2008,15,3,-0.8,27.635,-1.01,27.882,22.404,13.294,5589.382,1446.415,1.043,-51.589,1.03271739130435,11.7,14.333333333333334,315.3333333333333,3.96,494.20799999999997,158
AL,2009,12.666666666666666,3,0,28.635,-0.33,28.801,21.996,12.687,5586.86,1456.197,0.802,-62.755,2.75679347826087,14.600000000000001,9,345,3.7666666666666666,494.1025,146
AL,2010,7,3,-1.3,29.07,0.35,28.768,21.657,14.312,5594.375,1463.604,0.249,-18.261,6.8391847826087,16.1,146.5,123.5,1.2750000000000001,494.10699999999997,115
AL,2011,3.5,3,-1,28.12,-0.73,28.163,22.041,12.486,5597.093,1467.327,-0.583,30.959,2.9725,11.7,20.333333333333332,270.6666666666667,5.12,494.168,153
AL,2012,3.5,3,-0.3,28.215,-0.47,28.436,21.944,13.054,5584.833,1452.358,0.617,-52.312,7.38255434782609,18.5,0,181.5,10.525,494.13800000000003,113
AL,2013,0,3,-1.1,28.525,-0.3,28.635,21.682,11.65,5660.924,1478.493,-0.287,12.612,1.34679347826087,12.3,10,270.5,3.1666666666666665,494.178,154
AL,2014,3.5,3,0,29.215,0.04,29.121,21.172,11.822,5614.732,1466.764,0.168,-17.448,0.5525,13.7,17,294.5,13.233333333333334,494.2935,170
AL,2015,0,3,1.9,29.73,0.7,29.483,22.774,12.373,5575.674,1470.979,0.583,-33.997,3.97652173913043,14.4,9.5,235,2.56,494.1256666666667,143
AL,2016,0,3,0.4,29.41,0.94,29.317,22.34,12.836,5620.667,1469.482,0.963,-64.82,4.59872222222222,15.75,12,216,6.175000000000001,494.17949999999996,141
AL,2017,0.5,3,-0.2,28.895,0.2,29.055,22.337,12.974,5592.167,1444.451,0.924,-46.862,3.82244565217391,12.366666666666667,16.5,270,3.36,494.4065,119
AL,2018,0,3,-0.5,28.86,-0.5,28.902,23.315,10.781,5639.087,1477.218,0.048,-5.177,2.92902173913043,20.4,14.5,275.5,6.675,494.1625,169
AL,2019,3.5,3,0.4,29.3,0.66,29.341,21.982,11.209,5599.633,1463.663,0.295,-14.077,1.47978260869565,10.15,18,251,8.475,494.181,161
AL,2020,6,3,-0.7,29.08,0.19,28.91,22.614,11.032,5642.158,1469.9,0.4,-29.63,3.08032608695652,8.1,18,186,11.05,494.113,157
AL,2021,0,3,-1,28.455,-0.66,28.714,22.446,10.508,5602.171,1463.767,0.842,-55.94,4.4775,10.7,17.619047619047617,269.12380952380954,8.433333333333334,494.125,130
AL,2022,0,3,-1.9,27.96,-1.06,28.262,22.565,14.501,5592.256,1455.703,0.664,-62.124,2.46717391304348,12.833333333333332,17.619047619047617,269.12380952380954,6.44,494.116,157
AL,2023,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL,2024,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,1981,6,2,-0.7,28.235,-0.37,28.405,22.307,17.011,5516.613,1431.361,0.762,-44.613,4.6,11.588617886178861,8.604761904761904,392.3285714285714,7.2,500.270243902439,141.09756097560975
BM,1982,13,3,0.6,29.13,0.47,29.361,22.565,10.842,5546.578,1454.317,0.262,-20.681,3.49673913043478,12.15,8.604761904761904,392.3285714285714,12.775,500.65,144
BM,1983,21.5,3,2,28.875,1.29,28.69,22.019,8.651,5598.84,1468.736,0.168,-15.68,2.93913043478261,9.899999999999999,8.604761904761904,392.3285714285714,1.4,501.18,148
BM,1984,9.5,3,-0.7,27.94,-0.43,28.061,21.955,11.138,5588.837,1459.931,1.242,-89.082,2.90869565217391,10.85,8.604761904761904,392.3285714285714,2.6,500.7695,141
BM,1985,1,3,-0.7,27.705,-0.78,28.115,22.382,14.206,5571.513,1447.445,0.985,-84.256,5.82173913043478,12.366666666666667,8.604761904761904,392.3285714285714,2.7399999999999998,500.8245,154
BM,1986,14.5,3,0,28.43,-0.2,28.617,21.873,11.855,5539.302,1459.278,0.531,-37.22,5.68532608695652,12.5,9,419.5,2.025,500.675,147
BM,1987,10,3,2.1,28.9,0.95,28.961,22.353,10.465,5584.29,1463.822,0.715,-51.746,6.33369565217391,13.2,6.5,370,1.12,500.392,145
BM,1988,20.166666666666664,3,-1.2,28.285,-0.31,28.296,22.592,6.779,5683.185,1492.782,0.326,-34.19,4.87771739130435,14.15,3.5,392,1.175,500.1865,136
BM,1989,16,3,-1,27.87,-0.83,27.968,22.133,9.355,5605.424,1480.196,0.486,-28.207,2.32391304347826,10.366666666666667,8,354.6666666666667,2.0999999999999996,500.227,149
BM,1990,10.5,3,0.1,28.8,0.29,28.642,22.084,14.272,5575.913,1448.777,0.782,-57.722,4.06521739130435,12.666666666666666,7.666666666666667,352.6666666666667,1.86,499.89599999999996,150
BM,1991,19.5,3,1,29.175,0.26,29.12,23.067,9.306,5648.246,1496.318,-0.048,-11.739,5.47663043478261,11.75,9.5,346,2.85,500.13599999999997,139
BM,1992,22.666666666666668,3,1.5,29.16,1.29,29.084,21.634,8.79,5574.167,1459.562,0.115,-34.665,3.44510869565217,10.25,8.5,352.5,2.4,500.29949999999997,158
BM,1993,14,3,1.5,28.82,0.67,28.88,21.473,11.274,5579.474,1463.66,0.545,-40,3.05652173913043,9.55,6.333333333333333,304.6666666666667,1.925,500.40166666666664,154
BM,1994,8,3,0.3,28.94,0.31,28.882,21.998,12.75,5609.812,1472.075,0.92,-54.149,4.16086956521739,8.8,11,328,2.68,500.359,144
BM,1995,16.5,3,0,29.225,0.3,28.968,21.583,5.522,5668.799,1496.429,0.138,-10.793,1.63260869565217,10.4,6,325.6666666666667,2.12,500.423,137
BM,1996,11.5,3,-0.9,28.315,-0.39,28.353,21.21,10.573,5615.317,1474.513,0.149,-16.316,1.34347826086957,8.8,12,368.5,3.65,500.69100000000003,184
BM,1997,16,3,2.3,29.33,0.28,29.119,21.842,8.71,5587.717,1465.891,0.579,-43.507,1.66385869565217,7.35,6,295,2.4,500.85,157
BM,1998,8.5,3,0.4,28.61,0.99,28.615,23.217,12.338,5614.822,1443.97,0.326,-21.994,6.05646739130435,15.85,4.5,317,1.86,500.63800000000003,138
BM,1999,13.5,3,-1.3,27.65,-0.98,27.928,22.95,11.705,5583.317,1473.69,0.132,-14.689,5.79108695652174,13.35,7.666666666666667,328.6666666666667,1.96,500.305,115
BM,2000,5.5,3,-1.2,27.415,-0.81,27.955,22.663,14.44,5540.809,1448.568,1.046,-71.258,5.57630434782609,13.4,5.666666666666667,288,1.2,500.16999999999996,109
BM,2001,7,3,-0.7,28.285,-0.34,28.507,22.392,12.069,5596.765,1475.241,0.284,-29.431,4.30244565217391,13.833333333333334,17.333333333333332,297.6666666666667,1.94,500.23,141
BM,2002,11.5,3,0.3,29.275,0.2,29.217,22.554,11.818,5602.962,1474.521,0.662,-54.869,0.881576086956522,8.1,17.5,366.5,1.5,500.3585,115
BM,2003,12.5,3,-0.1,28.91,-0.04,28.826,22.219,9.17,5583.853,1466.96,-0.049,1.974,2.30086956521739,13.9,7,360,4.35,500.506,152
BM,2004,6,3,-0.4,28.865,0.17,28.858,22.671,12.886,5564.984,1459.347,0.704,-40.985,2.61788043478261,11.05,4,359.5,1.35,500.4385,143
BM,2005,10,3,0.2,29.13,0.43,28.91,21.838,9.583,5617.372,1467.796,0.235,-21.054,4.05494565217391,11.4,6,327.5,2.44,500.219,122
BM,2006,7,3,-0.2,28.575,-0.37,28.763,21.599,10.294,5642.203,1491.908,0.575,-28.85,5.91826086956522,14.066666666666666,6,439.5,2.46,500.0715,134
BM,2007,9.5,3,-0.8,28.785,-0.32,28.693,21.615,10.575,5564.631,1467.371,0.138,-26.844,2.68087301587302,12.8,7,366.5,2,499.811,137
BM,2008,6.333333333333333,3,-0.8,27.635,-1.01,27.882,22.404,13.294,5589.382,1446.415,1.043,-51.589,1.03271739130435,9.7,9,403.5,2.425,499.583,152
BM,2009,4,3,0,28.635,-0.33,28.801,21.996,12.687,5586.86,1456.197,0.802,-62.755,2.75679347826087,13.05,2.5,358.5,1.475,499.35400000000004,139
BM,2010,17.333333333333332,3,-1.3,29.07,0.35,28.768,21.657,14.312,5594.375,1463.604,0.249,-18.261,6.8391847826087,14.6,24,369.5,1.38,499.095,115
BM,2011,5.666666666666666,3,-1,28.12,-0.73,28.163,22.041,12.486,5597.093,1467.327,-0.583,30.959,2.9725,10.233333333333333,9,374,2.1,499.497,145
BM,2012,2.5,3,-0.3,28.215,-0.47,28.436,21.944,13.054,5584.833,1452.358,0.617,-52.312,7.38255434782609,16.7,0,200,1.875,499.47900000000004,108
BM,2013,15.833333333333332,3,-1.1,28.525,-0.3,28.635,21.682,11.65,5660.924,1478.493,-0.287,12.612,1.34679347826087,10.4,5.5,303.5,3.4,499.576,151
BM,2014,18.5,3,0,29.215,0.04,29.121,21.172,11.822,5614.732,1466.764,0.168,-17.448,0.5525,9.2,9,363.5,2.3666666666666667,499.9343333333333,165
BM,2015,8,3,1.9,29.73,0.7,29.483,22.774,12.373,5575.674,1470.979,0.583,-33.997,3.97652173913043,12.8,4.5,292,1.5799999999999998,500.03766666666667,146
BM,2016,10.5,3,0.4,29.41,0.94,29.317,22.34,12.836,5620.667,1469.482,0.963,-64.82,4.59872222222222,13.35,14,2192.5,1.175,500.1755,115
BM,2017,12,3,-0.2,28.895,0.2,29.055,22.337,12.974,5592.167,1444.451,0.924,-46.862,3.82244565217391,11.1,5,298,2.52,500.5765,119
BM,2018,19.5,3,-0.5,28.86,-0.5,28.902,23.315,10.781,5639.087,1477.218,0.048,-5.177,2.92902173913043,16.15,5.5,357.5,1.75,500.6245,149
BM,2019,13.5,3,0.4,29.3,0.66,29.341,21.982,11.209,5599.633,1463.663,0.295,-14.077,1.47978260869565,9.4,27.5,297,2.5,500.7125,162
BM,2020,16,3,-0.7,29.08,0.19,28.91,22.614,11.032,5642.158,1469.9,0.4,-29.63,3.08032608695652,6.9,9,262,3.3,500.634,149
BM,2021,8,3,-1,28.455,-0.66,28.714,22.446,10.508,5602.171,1463.767,0.842,-55.94,4.4775,8.8,8.604761904761904,392.3285714285714,2.1666666666666665,500.51649999999995,120
BM,2022,6,3,-1.9,27.96,-1.06,28.262,22.565,14.501,5592.256,1455.703,0.664,-62.124,2.46717391304348,9.95,8.604761904761904,392.3285714285714,2.16,500.5763333333333,157
BM,2023,17.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2024,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR,1981,21,2,-0.7,28.235,-0.37,28.405,22.307,17.011,5516.613,1431.361,0.762,-44.613,4.6,10.95,3,171.88333333333333,1.8141695702671312,501.81,139.34146341463415
CR,1982,36.5,3,0.6,29.13,0.47,29.361,22.565,10.842,5546.578,1454.317,0.262,-20.681,3.49673913043478,12.3,5.050925925925926,171.88333333333333,2.175,501.75,146
CR,1983,35,3,2,28.875,1.29,28.69,22.019,8.651,5598.84,1468.736,0.168,-15.68,2.93913043478261,11.15,5.050925925925926,171.88333333333333,1.5,502,146
CR,1984,33,3,-0.7,27.94,-0.43,28.061,21.955,11.138,5588.837,1459.931,1.242,-89.082,2.90869565217391,10.9,5.050925925925926,171.88333333333333,2.525,501.51108125,140
CR,1985,25.5,3,-0.7,27.705,-0.78,28.115,22.382,14.206,5571.513,1447.445,0.985,-84.256,5.82173913043478,13.799999999999999,5.050925925925926,171.88333333333333,2.18,501.85900000000004,146
CR,1986,34.833333333333336,3,0,28.43,-0.2,28.617,21.873,11.855,5539.302,1459.278,0.531,-37.22,5.68532608695652,13.25,4.5,200,0.825,501.821,141
CR,1987,22.833333333333336,3,2.1,28.9,0.95,28.961,22.353,10.465,5584.29,1463.822,0.715,-51.746,6.33369565217391,13.55,11,137,0.8333333333333334,501.512,143
CR,1988,38.166666666666664,3,-1.2,28.285,-0.31,28.296,22.592,6.779,5683.185,1492.782,0.326,-34.19,4.87771739130435,14.649999999999999,8.5,213.5,3.9499999999999997,501.338,136
CR,1989,36,3,-1,27.87,-0.83,27.968,22.133,9.355,5605.424,1480.196,0.486,-28.207,2.32391304347826,10.4,4.666666666666667,200,1.5,501.35066666666665,148
CR,1990,28.5,3,0.1,28.8,0.29,28.642,22.084,14.272,5575.913,1448.777,0.782,-57.722,4.06521739130435,12.5,4,162,1.4,501.099,146
CR,1991,33.166666666666664,3,1,29.175,0.26,29.12,23.067,9.306,5648.246,1496.318,-0.048,-11.739,5.47663043478261,12.95,2.5,137,0.45000000000000007,501.316,138
CR,1992,32.166666666666664,3,1.5,29.16,1.29,29.084,21.634,8.79,5574.167,1459.562,0.115,-34.665,3.44510869565217,10.85,3.5,168.5,1.75,501.52,157
CR,1993,34.5,3,1.5,28.82,0.67,28.88,21.473,11.274,5579.474,1463.66,0.545,-40,3.05652173913043,9.35,2.6666666666666665,142.33333333333334,4.28,501.61466666666666,154
CR,1994,25,3,0.3,28.94,0.31,28.882,21.998,12.75,5609.812,1472.075,0.92,-54.149,4.16086956521739,10,3.666666666666667,128,1.5750000000000002,501.568,144
CR,1995,35.5,3,0,29.225,0.3,28.968,21.583,5.522,5668.799,1496.429,0.138,-10.793,1.63260869565217,11.666666666666666,5.333333333333333,163.66666666666666,2.06,501.693,137
CR,1996,37,3,-0.9,28.315,-0.39,28.353,21.21,10.573,5615.317,1474.513,0.149,-16.316,1.34347826086957,10.1,7.5,222,2.066666666666667,501.911,171
CR,1997,34.666666666666664,3,2.3,29.33,0.28,29.119,21.842,8.71,5587.717,1465.891,0.579,-43.507,1.66385869565217,8.3,3,149.5,1.875,502.084,155
CR,1998,22.666666666666664,3,0.4,28.61,0.99,28.615,23.217,12.338,5614.822,1443.97,0.326,-21.994,6.05646739130435,17.3,2.5,162.5,1.25,501.84749999999997,137
CR,1999,32,3,-1.3,27.65,-0.98,27.928,22.95,11.705,5583.317,1473.69,0.132,-14.689,5.79108695652174,14.25,4.666666666666667,154.66666666666666,0.9750000000000001,501.54333333333335,117
CR,2000,33.5,3,-1.2,27.415,-0.81,27.955,22.663,14.44,5540.809,1448.568,1.046,-71.258,5.57630434782609,12.5,4,153.66666666666666,1.6199999999999999,501.3333333333333,106
CR,2001,28.5,3,-0.7,28.285,-0.34,28.507,22.392,12.069,5596.765,1475.241,0.284,-29.431,4.30244565217391,15.3,4.666666666666667,187.66666666666666,1.36,501.3933333333333,141
CR,2002,34.166666666666664,3,0.3,29.275,0.2,29.217,22.554,11.818,5602.962,1474.521,0.662,-54.869,0.881576086956522,9.2,12.5,247.5,2.7249999999999996,501.519,115
CR,2003,23,3,-0.1,28.91,-0.04,28.826,22.219,9.17,5583.853,1466.96,-0.049,1.974,2.30086956521739,12.133333333333333,6.333333333333333,225,0.88,501.68899999999996,150
CR,2004,31,3,-0.4,28.865,0.17,28.858,22.671,12.886,5564.984,1459.347,0.704,-40.985,2.61788043478261,13.149999999999999,5,203.5,0.85,501.515,139
CR,2005,23.5,3,0.2,29.13,0.43,28.91,21.838,9.583,5617.372,1467.796,0.235,-21.054,4.05494565217391,8.6,4.5,176,1.28,501.3233333333333,120
CR,2006,23,3,-0.2,28.575,-0.37,28.763,21.599,10.294,5642.203,1491.908,0.575,-28.85,5.91826086956522,14.6,5.5,157.5,2.2,501.198,132
CR,2007,27.166666666666664,3,-0.8,28.785,-0.32,28.693,21.615,10.575,5564.631,1467.371,0.138,-26.844,2.68087301587302,16.5,2,158,1.6500000000000001,500.93399999999997,128
CR,2008,25.166666666666664,3,-0.8,27.635,-1.01,27.882,22.404,13.294,5589.382,1446.415,1.043,-51.589,1.03271739130435,10.45,7.5,203.5,1.95,501.51108125,151
CR,2009,24.666666666666668,3,0,28.635,-0.33,28.801,21.996,12.687,5586.86,1456.197,0.802,-62.755,2.75679347826087,13.9,0,188,1.05,500.611,141
CR,2010,22.25,3,-1.3,29.07,0.35,28.768,21.657,14.312,5594.375,1463.604,0.249,-18.261,6.8391847826087,14.966666666666667,2,152,1.6875,500.365,108
CR,2011,33,3,-1,28.12,-0.73,28.163,22.041,12.486,5597.093,1467.327,-0.583,30.959,2.9725,11.233333333333334,7,149,3.6375,500.69425,147
CR,2012,37,3,-0.3,28.215,-0.47,28.436,21.944,13.054,5584.833,1452.358,0.617,-52.312,7.38255434782609,13.7,0,126.25,2.1142857142857143,500.694,108
CR,2013,44,3,-1.1,28.525,-0.3,28.635,21.682,11.65,5660.924,1478.493,-0.287,12.612,1.34679347826087,11.35,6.333333333333333,159.66666666666666,2.1999999999999997,500.824,151
CR,2014,27.666666666666664,3,0,29.215,0.04,29.121,21.172,11.822,5614.732,1466.764,0.168,-17.448,0.5525,13.1,6.5,173,2.65,501.1445,163
CR,2015,17.666666666666664,3,1.9,29.73,0.7,29.483,22.774,12.373,5575.674,1470.979,0.583,-33.997,3.97652173913043,13.25,4,143,1.725,501.3405,145
CR,2016,24.666666666666664,3,0.4,29.41,0.94,29.317,22.34,12.836,5620.667,1469.482,0.963,-64.82,4.59872222222222,15.3,5.5,141,1.8250000000000002,501.543,113
CR,2017,20.5,3,-0.2,28.895,0.2,29.055,22.337,12.974,5592.167,1444.451,0.924,-46.862,3.82244565217391,11.5,7,166.5,1.76,501.971,119
CR,2018,21.5,3,-0.5,28.86,-0.5,28.902,23.315,10.781,5639.087,1477.218,0.048,-5.177,2.92902173913043,17.6,4.5,184.5,0.9,502.025,150
CR,2019,26,3,0.4,29.3,0.66,29.341,21.982,11.209,5599.633,1463.663,0.295,-14.077,1.47978260869565,10.2,6,186,1.35,502.2645,160
CR,2020,22,3,-0.7,29.08,0.19,28.91,22.614,11.032,5642.158,1469.9,0.4,-29.63,3.08032608695652,6.5,10,194,1.85,502.26,150
CR,2021,14,3,-1,28.455,-0.66,28.714,22.446,10.508,5602.171,1463.767,0.842,-55.94,4.4775,9.4,5.050925925925926,171.88333333333333,2.566666666666667,502.157,124
CR,2022,17.333333333333332,3,-1.9,27.96,-1.06,28.262,22.565,14.501,5592.256,1455.703,0.664,-62.124,2.46717391304348,10.75,5.050925925925926,171.88333333333333,1.38,502.00733333333335,150
CR,2023,18.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR,2024,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SP,1981,15,2,-0.7,28.235,-0.37,28.405,22.307,17.011,5516.613,1431.361,0.762,-44.613,4.6,11.686178861788617,7.447619047619048,221.03809523809525,3.5,494.9150225225225,137.6341463414634
SP,1982,25,3,0.6,29.13,0.47,29.361,22.565,10.842,5546.578,1454.317,0.262,-20.681,3.49673913043478,13.75,7.447619047619048,221.03809523809525,2.4,494.9150225225225,146
SP,1983,25,3,2,28.875,1.29,28.69,22.019,8.651,5598.84,1468.736,0.168,-15.68,2.93913043478261,10.25,7.447619047619048,221.03809523809525,3.9,494.9150225225225,147
SP,1984,22,3,-0.7,27.94,-0.43,28.061,21.955,11.138,5588.837,1459.931,1.242,-89.082,2.90869565217391,10.85,7.447619047619048,221.03809523809525,4.1,495.254,141
SP,1985,23.5,3,-0.7,27.705,-0.78,28.115,22.382,14.206,5571.513,1447.445,0.985,-84.256,5.82173913043478,16.05,7.447619047619048,221.03809523809525,2.675,495.30949999999996,140
SP,1986,17.5,3,0,28.43,-0.2,28.617,21.873,11.855,5539.302,1459.278,0.531,-37.22,5.68532608695652,12.8,8,291.5,2.12,495.231,139
SP,1987,22,3,2.1,28.9,0.95,28.961,22.353,10.465,5584.29,1463.822,0.715,-51.746,6.33369565217391,12.75,4,178.5,1.1800000000000002,494.637,133
SP,1988,27.666666666666668,3,-1.2,28.285,-0.31,28.296,22.592,6.779,5683.185,1492.782,0.326,-34.19,4.87771739130435,13.7,5.5,280,1.375,494.67650000000003,134
SP,1989,24.5,3,-1,27.87,-0.83,27.968,22.133,9.355,5605.424,1480.196,0.486,-28.207,2.32391304347826,11.666666666666668,3.3333333333333335,214.33333333333334,2.34,494.8,146
SP,1990,22,3,0.1,28.8,0.29,28.642,22.084,14.272,5575.913,1448.777,0.782,-57.722,4.06521739130435,13.65,4,186.5,0.825,494.437,143
SP,1991,21.333333333333332,3,1,29.175,0.26,29.12,23.067,9.306,5648.246,1496.318,-0.048,-11.739,5.47663043478261,12.1,3.5,183,2.125,494.894,141
SP,1992,23.5,3,1.5,29.16,1.29,29.084,21.634,8.79,5574.167,1459.562,0.115,-34.665,3.44510869565217,9.75,7.666666666666667,211,2.875,495.118,156
SP,1993,20.5,3,1.5,28.82,0.67,28.88,21.473,11.274,5579.474,1463.66,0.545,-40,3.05652173913043,8.45,4.333333333333333,154.33333333333334,2.02,495.08733333333333,154
SP,1994,15.5,3,0.3,28.94,0.31,28.882,21.998,12.75,5609.812,1472.075,0.92,-54.149,4.16086956521739,8.1,9.666666666666666,401.3333333333333,5.34,494.855,147
SP,1995,23.5,3,0,29.225,0.3,28.968,21.583,5.522,5668.799,1496.429,0.138,-10.793,1.63260869565217,10.466666666666667,3,188,1.98,495.0745,139
SP,1996,27.333333333333336,3,-0.9,28.315,-0.39,28.353,21.21,10.573,5615.317,1474.513,0.149,-16.316,1.34347826086957,9.3,20.5,262.5,1.75,495.286,171
SP,1997,26,3,2.3,29.33,0.28,29.119,21.842,8.71,5587.717,1465.891,0.579,-43.507,1.66385869565217,7.45,13,188,3.275,495.384,157
SP,1998,15,3,0.4,28.61,0.99,28.615,23.217,12.338,5614.822,1443.97,0.326,-21.994,6.05646739130435,16.6,3.5,186.5,1.56,495.056,110
SP,1999,23,3,-1.3,27.65,-0.98,27.928,22.95,11.705,5583.317,1473.69,0.132,-14.689,5.79108695652174,13.05,22,221,2.75,494.68399999999997,116
SP,2000,17,3,-1.2,27.415,-0.81,27.955,22.663,14.44,5540.809,1448.568,1.046,-71.258,5.57630434782609,13.4,4.666666666666667,227,0.44000000000000006,494.61850000000004,109
SP,2001,20,3,-0.7,28.285,-0.34,28.507,22.392,12.069,5596.765,1475.241,0.284,-29.431,4.30244565217391,14.45,5.5,185.5,1.3,494.77099999999996,142
SP,2002,23.833333333333336,3,0.3,29.275,0.2,29.217,22.554,11.818,5602.962,1474.521,0.662,-54.869,0.881576086956522,7.9,8,280,3.9,494.909,115
